,br,regional
0,101,sprf-es
1,116,sprf-sp
2,163,sprf-mt
3,376,sprf-pr
4,116,sprf-mg
5,262,sprf-mg
6,116,sprf-pr
7,381,sprf-mg
9,116,sprf-ba
11,465,sprf-rj
12,392,sprf-rs
13,101,sprf-sc
14,316,sprf-pi
15,50,sprf-go
16,101,sprf-pe
18,365,sprf-mg
19,290,sprf-rs
22,316,sprf-pa
26,386,sprf-rs
27,376,sprf-ms
29,381,sprf-sp
30,316,sprf-ma
31,40,sprf-mg
34,324,sprf-ba
35,116,sprf-rs
37,364,sprf-mt
38,116,sprf-ce
40,407,sprf-ba
43,210,sprf-ap
44,412,sprf-pb
45,116,sprf-rj
50,428,sprf-pe
51,280,sprf-sc
52,470,sprf-sc
53,20,sprf-df
54,480,sprf-sc
56,101,sprf-rj
58,158,sprf-ms
59,101,sprf-se
60,407,sprf-pe
61,153,sprf-mg
62,101,sprf-ba
65,222,sprf-ce
66,153,sprf-sc
68,101,sprf-pb
69,277,sprf-pr
73,153,sprf-pr
75,282,sprf-sc
76,251,sprf-mg
78,70,sprf-mt
82,459,sprf-mg
85,116,sprf-sc
92,259,sprf-es
95,158,sprf-sc
103,493,sprf-rj
108,230,sprf-pb
110,110,sprf-ba
111,343,sprf-pi
120,40,sprf-rj
122,242,sprf-ba
125,285,sprf-rs
126,158,sprf-rs
143,60,sprf-go
147,319,sprf-ro
152,153,sprf-go
153,50,sprf-mg
154,163,sprf-pa
162,101,sprf-rn
169,158,sprf-go
172,230,sprf-ma
173,153,sprf-to
174,174,sprf-rr
183,232,sprf-pe
184,163,sprf-pr
195,467,sprf-pr
197,364,sprf-ro
201,405,sprf-rn
217,476,sprf-pr
226,262,sprf-es
229,101,sprf-rs
241,40,sprf-df
245,10,sprf-ma
247,410,sprf-ba
251,174,sprf-mt
253,423,sprf-pe
254,163,sprf-ms
257,155,sprf-pa
270,153,sprf-rs
273,251,sprf-df
275,287,sprf-rs
278,222,sprf-ma
283,393,sprf-rj
300,262,sprf-ms
307,158,sprf-mt
308,158,sprf-pr
322,364,sprf-go
335,421,sprf-ro
359,153,sprf-sp
384,230,sprf-pa
385,452,sprf-go
395,356,sprf-rj
397,472,sprf-rs
400,414,sprf-go
403,135,sprf-pi
412,316,sprf-al
427,435,sprf-ro
439,373,sprf-pr
447,432,sprf-rr
455,226,sprf-ma
463,116,sprf-pe
464,470,sprf-rs
469,369,sprf-pr
481,354,sprf-mg
495,356,sprf-mg
500,364,sprf-ac
504,101,sprf-al
508,153,sprf-pa
509,267,sprf-mg
552,unknown,unknown
555,408,sprf-pe
565,359,sprf-ms
569,10,sprf-pa
589,230,sprf-to
601,70,sprf-df
613,471,sprf-rs
616,349,sprf-se
658,304,sprf-ce
694,424,sprf-pe
710,163,sprf-sc
714,463,sprf-ms
716,135,sprf-ma
723,293,sprf-rs
753,304,sprf-rn
766,60,sprf-df
787,80,sprf-go
878,146,sprf-mg
890,80,sprf-df
892,364,sprf-mg
901,316,sprf-pe
939,20,sprf-ba
963,267,sprf-ms
986,60,sprf-ms
1000,20,sprf-ce
1027,235,sprf-se
1029,30,sprf-ba
1032,280,sprf-pr
1122,354,sprf-rj
1131,407,sprf-pi
1142,104,sprf-al
1151,468,sprf-rs
1194,104,sprf-pb
1266,242,sprf-to
1277,226,sprf-to
1290,448,sprf-rs
1308,70,sprf-go
1315,230,sprf-ce
1348,110,sprf-pb
1360,50,sprf-df
1367,430,sprf-ba
1440,230,sprf-pi
1442,423,sprf-al
1476,406,sprf-rn
1549,104,sprf-pe
1564,174,sprf-am
1599,330,sprf-ba
1614,415,sprf-ba
1658,402,sprf-ma
1702,402,sprf-pi
1726,10,sprf-to
1733,393,sprf-es
1781,361,sprf-pb
1856,unknown,sprf-df
1976,222,sprf-pa
1984,487,sprf-pr
2412,272,sprf-pr
2447,226,sprf-rn
2593,427,sprf-rn
2692,101,sprf-sp
2848,unknown,sprf-mt
2854,230,sprf-am
2861,367,sprf-ba
2929,235,sprf-ba
2931,158,sprf-pa
3001,495,sprf-rj
3366,unknown,sprf-ms
3418,402,sprf-ce
3533,459,sprf-sp
3601,122,sprf-ce
3909,135,sprf-ba
3919,487,sprf-ms
4035,424,sprf-al
4154,349,sprf-ba
4647,419,sprf-ms
4848,110,sprf-rn
4930,222,sprf-pi
5818,429,sprf-ro
6048,401,sprf-rr
6374,unknown,sprf-pr
6637,319,sprf-am
6846,420,sprf-ba
6892,unknown,sprf-ba
7029,unknown,sprf-ce
7092,436,sprf-ms
7155,405,sprf-pb
7222,308,sprf-pa
7689,235,sprf-pi
7702,317,sprf-ac
8589,480,sprf-rs
8680,156,sprf-ap
8839,469,sprf-pr
8922,285,sprf-sc
8995,418,sprf-ba
9107,423,sprf-ba
9163,unknown,sprf-rs
9773,425,sprf-ro
10438,235,sprf-pe
10489,unknown,sprf-al
10604,unknown,sprf-ma
10988,174,sprf-ro
10990,unknown,sprf-pi
10997,unknown,sprf-mg
11012,unknown,sprf-ro
11196,416,sprf-al
11952,unknown,sprf-pb
12219,unknown,sprf-pe
12659,488,sprf-sp
13273,447,sprf-es
13322,unknown,sprf-pa
13755,unknown,sprf-sc
13760,235,sprf-to
14102,437,sprf-rn
14156,434,sprf-pb
15180,352,sprf-mg
16030,20,sprf-pi
16471,unknown,sprf-go
16988,427,sprf-pb
18032,unknown,sprf-sp
18209,unknown,sprf-rn
18384,226,sprf-ce
18534,342,sprf-es
19677,unknown,sprf-rj
20198,unknown,sprf-am
23439,unknown,sprf-to
24463,403,sprf-ce
24812,unknown,sprf-rr
26446,433,sprf-rr
28031,unknown,sprf-ap
28271,485,sprf-rj
29913,unknown,sprf-se
31088,unknown,uniprf
32024,422,sprf-pa
33031,110,sprf-pe
33583,265,sprf-mg
34983,482,sprf-es
42445,210,sprf-rr
43938,324,sprf-pi
53611,unknown,sprf-ac
63786,unknown,sprf-es
64959,484,sprf-es
80166,342,sprf-ba
100988,475,sprf-sc
106356,426,sprf-pb
106782,30,sprf-df
113720,226,sprf-pi
178547,116,unknown
186810,104,sprf-rn
187509,477,sprf-sc
224706,122,sprf-ba
230322,352,sprf-go
234576,230,sprf-ro
236072,457,sprf-df
244943,316,sprf-ba
248555,120,sprf-mg
256568,452,sprf-mg
262165,122,sprf-pe
278030,10,sprf-df
287374,383,sprf-sp
310431,498,sprf-ba
312382,377,sprf-rs
331744,451,sprf-mg
335109,408,sprf-pb
341438,135,sprf-mg
363672,404,sprf-pi
416575,473,sprf-rs
421762,110,sprf-al
451557,101,unknown
451559,277,unknown
451560,476,unknown
451562,282,unknown
451563,50,unknown
451565,163,unknown
451567,230,unknown
451568,174,unknown
451570,40,unknown
451571,60,unknown
451574,222,unknown
451576,376,unknown
451579,386,unknown
451582,153,unknown
451584,135,unknown
451585,158,unknown
451587,262,unknown
451590,381,unknown
451593,232,unknown
451597,470,unknown
451601,285,unknown
451608,401,unknown
451609,226,unknown
451610,104,unknown
451613,365,unknown
451628,235,unknown
451634,343,unknown
451641,287,unknown
451646,316,unknown
451650,242,unknown
451653,267,unknown
451657,393,unknown
451668,369,unknown
451669,364,unknown
451679,423,unknown
451680,465,unknown
451682,70,unknown
451686,10,unknown
451689,110,unknown
451695,414,unknown
451699,459,unknown
451707,373,unknown
451730,415,unknown
451732,280,unknown
451741,392,unknown
451802,290,unknown
451807,324,unknown
451816,319,unknown
451865,471,unknown
451876,259,unknown
451887,304,unknown
451923,251,unknown
451936,20,unknown
451943,424,unknown
451979,356,unknown
452027,428,unknown
452032,407,unknown
452103,80,unknown
452121,493,unknown
452125,330,unknown
452190,156,unknown
452303,377,unknown
452318,405,unknown
452340,408,unknown
452356,463,unknown
452388,410,unknown
452390,354,unknown
452469,432,unknown
452488,472,unknown
452644,293,unknown
452650,361,unknown
452665,473,unknown
452742,402,unknown
452751,317,unknown
452839,487,unknown
452853,406,unknown
452913,272,unknown
452979,155,unknown
453037,427,unknown
453081,367,unknown
453092,452,unknown
453483,146,unknown
453585,480,unknown
453816,467,unknown
454526,412,unknown
454618,308,unknown
454770,495,unknown
455088,488,unknown
455212,210,unknown
455523,425,unknown
455649,469,unknown
455738,419,unknown
455896,468,unknown
456288,418,unknown
456301,404,unknown
456636,448,unknown
457649,429,unknown
457789,450,unknown
1033391,359,unknown
1034430,30,unknown
1035215,474,unknown
1035649,460,unknown
1044031,485,unknown
1049374,349,unknown
1059692,4,unknown
1061809,447,unknown
1086966,352,unknown
1087763,617,unknown
1089788,580,unknown
1090451,420,unknown
1093334,221,unknown
1093418,560,unknown
1133218,84,unknown
1133405,687,unknown
1144328,178,unknown
1753525,601,unknown
1753835,605,unknown
1754902,604,unknown
1763033,416,unknown
1920800,433,unknown
